sansan_organization_code,sansan_location_code,corporate_number,data_source,company_name,base_name,zip_code,address,phone_number,crawled_at
8848028667281,1573244478823,4430001024158,ZC_IRYO,株式会社日本ケミカル,プラム薬局　北１０条店,0010010,札幌市北区北10条西4丁目1-13,011-738-6001,2023-10-23 15:00:00 UTC
1243447618525,4786229821163,7430005011777,ZC_IRYO,医療法人ライブフォレスト,北大通こころのクリニック,0010010,札幌市北区北10条西4丁目1番13クレドメディカルビル3階,011-738-7171,2023-10-23 15:00:00 UTC
7736174419484,6014721686795,1430001010672,ZC_IRYO,株式会社ツルハ,調剤薬局ツルハドラッグ北１０条西店,００１００１０,札幌市北区北10条西3丁目9-2THE PLACE SAPPORO 1F,011-214-0259,2023-10-23 15:00:00 UTC
7164753020541,3092703312624,8430005001901,ZC_IRYO,医療法人社団　太黒胃腸内科病院,医療法人社団　太黒胃腸内科病院,0010011,札幌市北区北11条西3丁目1番15号,011⁃716⁃9161,2023-10-23 15:00:00 UTC
6784725784855,4751027702111,1430001005219,ZC_IRYO,株式会社なの花北海道,なの花薬局　北１１条店,0010011,札幌市北区北11条西4丁目1番1号, 011-738-0888 ,2023-10-23 15:00:00 UTC
6230461304115,2110373576369,7430005001753,ZC_IRYO,医療法人社団　佐藤診療所,医療法人社団　佐藤診療所,0010012,札幌市北区北12条西2丁目1番地,011-716-1637,2023-10-23 15:00:00 UTC
1780444203886,8369345683128,7430001045291,ZC_IRYO,株式会社　あさみ,あさみ薬局,0010013,札幌市北区北13条西4丁目2-16,011-716-7350,2023-10-23 15:00:00 UTC
6784725784855,3256881739311,1430001005219,ZC_IRYO,株式会社なの花北海道,なの花薬局　北大前店,0010013,札幌市北区北13条西4丁目2-17,011-757-1193,2023-10-23 15:00:00 UTC
6467387484032,7991360490488,7430001069398,ZC_IRYO,株式会社アインファーマシーズ,アール薬局　北大前店,0010013,札幌市北区北13条西4丁目2-14,011-726-5070,2023-10-23 15:00:00 UTC
7377382473247,3089177876586,5430005010855,ZC_IRYO,一般財団法人　協済会,北大協済会薬局,0010013,札幌市北区北13条西4丁目2番21号,011-756-2221,2023-10-23 15:00:00 UTC
9436126793115,5293640773023,7430001033172,ZC_IRYO,株式会社サンクール,あしたば薬局北大前店,0010013,札幌市北区北13条西4丁目2-15,０１１－７００－４１９３,2023-10-23 15:00:00 UTC
8100171959897,3954247082474,2430005012383,ZC_IRYO,医療法人社団ライフパートナー,ここハートクリニック,００１００１３,札幌市北区北13条西3丁目2番1号アルファスクエア北13 2階-F号室,011-788-7897,2023-10-23 15:00:00 UTC
8836049424138,1368626211286,6430005012917,ZC_IRYO,医療法人　さっぽろ脊椎外科クリニック,さっぽろ脊椎外科クリニック,0010013,札幌市北区北13条西2丁目2番1号, 011-729-1154 ,2023-10-23 15:00:00 UTC
3807372628938,6742165071858,9430005001438,ZC_IRYO,医療法人　明日葉会,札幌マタニティ・ウィメンズホスピタル,0010013,札幌市北区北13条西4丁目2番23号,０１１－７４６－５５０５,2023-10-23 15:00:00 UTC
3915987985233,5351475194111,1430001012306,ZC_IRYO,株式会社　難波薬局,株式会社　難波薬局,0010014,札幌市北区北14条西4丁目1番15号,011-716-3030,2023-10-23 15:00:00 UTC
6071322783546,3912698473813,9010001064753,ZC_IRYO,日本調剤株式会社,日本調剤北大前薬局,0010014,札幌市北区北14条西4丁目1番14号,011-757-2212,2023-10-23 15:00:00 UTC
7015184973727,7932909761899,7430001027983,ZC_IRYO,株式会社ナカジマ薬局,ナカジマ薬局　北大前店,0010014,札幌市北区北14条西4丁目1番16号,011-756-1193,2023-10-23 15:00:00 UTC
7008603878624,6532722875782,5430001041581,ZC_IRYO,株式会社マックス,ハート薬局北１４条店,0010014,札幌市北区北14条西2丁目1-5メルバN14 1F,011-747-1000,2023-10-23 15:00:00 UTC
7736174419484,9394097256555,1430001010672,ZC_IRYO,株式会社　ツルハ,調剤薬局クスリのツルハ　北大前店,0010014,札幌市北区北14条西4丁目1番17号,011-700-5397,2023-10-23 15:00:00 UTC
2927677728282,3718411811264,,ZC_IRYO,有限会社あけぼの,えるむ薬局,0010016,札幌市北区北16条西4丁目1番19,011-737-7951,2023-10-23 15:00:00 UTC
5785389357522,1293113401290,9430005001792,ZC_IRYO,社会医療法人　秀眸会　大塚眼科病院,社会医療法人　秀眸会　大塚眼科病院,0010016,札幌市北区北16条西4丁目2番17号,011-747-5211,2023-10-23 15:00:00 UTC
6049774402521,2661985656026,1040005000998,ZC_IRYO,医療法人社団郁栄会,医療法人社団郁栄会　札幌ピースデンタルクリニック,0010017,札幌市北区北17条西4丁目2番32号クレスト18 2階,011-788-2494,2023-10-23 15:00:00 UTC
8816600292589,3760874624925,2430005010528,ZC_IRYO,医療法人社団　菊池皮膚科クリニック,医療法人社団　菊池皮膚科クリニック,0010017,札幌市北区北17条西3丁目21プロスTJビル 1F,０１１－７３６－４１１２,2023-10-23 15:00:00 UTC
6784725784855,8619203913439,1430001005219,ZC_IRYO,株式会社なの花北海道,なの花薬局　北１７条店,0010017,札幌市北区北17条西3丁目2番1号,011⁃717⁃1193,2023-10-23 15:00:00 UTC
3743626132200,3663740843160,5430005001887,ZC_IRYO,医療法人社団康仁会,医療法人社団　康仁会　たかさき歯科医院,0010017,札幌市北区北17条西2丁目2-16,０１１－７１６－２０３６,2023-10-23 15:00:00 UTC
4238272731941,8017856465720,9430005006362,MODIFICATION,医療法人社団　東桑会,医療法人社団東桑会　札幌北クリニック,００１００１８,札幌市北区北18条西2丁目1番10号,011-747-7157,2023-10-23 15:00:00 UTC
7688639459809,7393120399758,4430005001533,ZC_IRYO,社会医療法人　松田整形外科記念病院,松田整形外科記念病院,0010018,札幌市北区北18条西4丁目1-35,011-746-3666,2023-10-23 15:00:00 UTC
7944216516507,8271942895567,9430001053656,ZC_IRYO,北海道ファーマライズ株式会社,Ｎ１８調剤薬局,0010018,札幌市北区北18条西6丁目3-8,011-738-7720,2023-10-23 15:00:00 UTC
6784725784855,1167252460678,1430001005219,MODIFICATION,株式会社なの花北海道,なの花薬局　札幌北１８条店,0010018,札幌市北区北18条西4丁目2-17,０１１－７０８－７８５１,2023-10-23 15:00:00 UTC
7059005303727,9306280897574,5430005004163,ZC_IRYO,医療法人社団　北２０条内科クリニック,医療法人社団　北２０条内科クリニック,0010020,札幌市北区北20条西6丁目2番10号,011-758-8080,2023-10-23 15:00:00 UTC
3174673934981,8315943891712,5430005010302,ZC_IRYO,医療法人社団　札幌皮膚病理診断科,札幌皮膚病理診断科,0010021,札幌市北区北21条西4丁目2-25セゾン･ドゥ･ブランシェ北21条 1階, 011-756-4810 ,2023-10-23 15:00:00 UTC
7041846534224,7751340071430,4430005001608,ZC_IRYO,医療法人社団　心優会,医療法人社団　心優会　中江病院,0010022,札幌市北区北22条西7丁目2番1号,011-716-7181,2023-10-23 15:00:00 UTC
7420661034458,9648396921088,5430005014666,ZC_IRYO,医療法人社団成嶺会,北２４条かやの歯科クリニック,0010022,札幌市北区北22条西4丁目2-12コモド22 1F,011-708-6480,2023-10-23 15:00:00 UTC
8292113884620,9525235914748,3430005004875,ZC_IRYO,医療法人社団　リズミック産婦人科クリニック,リズミック産婦人科クリニック,００１００２２,札幌市北区北22条西5丁目1番32号,011-700-0505,2023-10-23 15:00:00 UTC
3638653495142,9073548409952,4430005013933,ZC_IRYO,医療法人社団　さっぽろＡＲＴクリニック　ｎ２４,さっぽろＡＲＴクリニック　ｎ２４,0010023,札幌市北区北23条西3丁目2番37号第2北進建鉄ビル 2階,011-792-6691,2023-10-23 15:00:00 UTC
5044574721541,9496908757957,4430005004288,ZC_IRYO,医療法人社団　えんどう小児歯科・矯正歯科医院,医療法人社団　えんどう小児歯科・矯正歯科医院,0010023,札幌市北区北23条西3丁目2番28号第一高瀬ビル3階,011⁃727⁃6480,2023-10-23 15:00:00 UTC
5585658980852,2937209194700,4030001012657,ZC_IRYO,株式会社アール,北２４条レイル薬局,0010023,札幌市北区北23条西5丁目2-31Jビル1階, 011-708-0360 ,2023-10-23 15:00:00 UTC
9037323139576,2222764056967,4430005001665,ZC_IRYO,医療法人社団　小谷内科医院,医療法人社団　小谷内科医院,0010023,札幌市北区北23条西4丁目2-33,011-736-2588,2023-10-23 15:00:00 UTC
5839529798942,9895702650509,1430005003284,MODIFICATION,医療法人社団　律英会,北２４条ターミナル歯科,0010023,札幌市北区北23条西4丁目2番1ターミナルハイツ24-313,011-727-4182,2023-10-23 15:00:00 UTC
9436126793115,6124631107134,7430001033172,ZC_IRYO,株式会社　サンクール,あしたば薬局　もえぎ店,００１００２３,札幌市北区北23条西3丁目2-28第一高瀬ビル, 011-708-1193 ,2023-10-23 15:00:00 UTC
2931958214539,6059549603215,9430001006886,ZC_IRYO,株式会社　佐野薬局,株式会社　佐野薬局　さの薬局,0010023,札幌市北区北23条西4丁目2番13号,011-756-7788,2023-10-23 15:00:00 UTC
8366612284961,9503075499864,6430001011030,ZC_IRYO,有限会社フォーサイト,りんご調剤薬局　北２３条店,0010023,札幌市北区北23条西7丁目1番15号,011-776-7170,2023-10-23 15:00:00 UTC
5060182386095,4511204171085,6021005003294,ZC_IRYO,医療法人社団　立靖会,ラビット歯科,0010024,札幌市北区北24条西4丁目1-21モンレーブ24 4F,011-708-1080,2023-10-23 15:00:00 UTC
9402858008971,9499672434063,3430005004974,MODIFICATION,医療法人社団　おがさわら耳鼻咽喉科クリニック,医療法人社団　おがさわら耳鼻咽喉科クリニック,0010024,札幌市北区北24条西14丁目3-8北24条通メディカルプレイス3階,011-747-3387,2023-10-23 15:00:00 UTC
1503255697722,8213074286622,9430001007117,ZC_IRYO,ジェイ・メディックス株式会社,ペンギン保険薬局新川店,0010024,札幌市北区北24条西14丁目3番5号,011-708-8550,2023-10-23 15:00:00 UTC
4928513060606,9623097443295,6430005003726,ZC_IRYO,医療法人社団白水会,医療法人社団白水会　はくすい歯カ,0010024,札幌市北区北24条西14丁目3-8北24条通メディカルプレイス1F,011-717-8211,2023-10-23 15:00:00 UTC
7811369884673,1204334794143,8430005003220,ZC_IRYO,医療法人社団　和仁会,医療法人社団　和仁会　平田内科クリニック,0010024,札幌市北区北24条西14丁目3番15号,011-756-2220,2023-10-23 15:00:00 UTC
4182265614797,5235627885303,9430005010315,ZC_IRYO,医療法人社団　くすのきこどもクリニック,くすのきこどもクリニック,0010024,札幌市北区北24条西14丁目3番8号北24条通メディカルプレイスビル2階,011-717-0415,2023-10-23 15:00:00 UTC
5947223602909,1754595186398,2430005002046,ZC_IRYO,医療法人社団メモリアル会,医療法人社団メモリアル会　メモリアル歯科,0010024,札幌市北区北24条西2丁目3番26,011-746-2311,2023-10-23 15:00:00 UTC
5839529798942,2915678804724,1430005003284,ZC_IRYO,医療法人社団律英会,医療法人社団律英会　鈴木歯科クリニック,0010024,札幌市北区北24条西4丁目1-6鈴木ビル2F,011-758-4182,2023-10-23 15:00:00 UTC
9341872011798,9837637395442,5430005003990,ZC_IRYO,医療法人社団　眞明会　今医院,医療法人社団　眞明会　今医院,0010025,札幌市北区北25条西8丁目2番3号,011-716-9255,2023-10-23 15:00:00 UTC
9436126793115,5975179954194,7430001033172,ZC_IRYO,株式会社　サンクール,あしたば薬局北２５条店,0010025,札幌市北区北25条西8丁目2番24号,011⁃707⁃4193,2023-10-23 15:00:00 UTC
7967210336506,3249925812702,1430001074362,ZC_IRYO,ポポヤクコーポレーション株式会社,ピリカ北２５条薬局,0010025,札幌市北区北25条西8丁目1-3,011-708-8515,2023-10-23 15:00:00 UTC
1921451461792,4728242528033,2430001002710,ZC_IRYO,株式会社メディプラン,みらくる薬局　北２５条アトム店,0010025,札幌市北区北25条西5丁目1番3号リーブル25 1階,011-756-5553,2023-10-23 15:00:00 UTC
2810250700852,1837354678079,5430005001697,ZC_IRYO,医療法人社団クローバー歯科,医療法人社団　クローバー歯科,0010025,札幌市北区北25条西5丁目1番18号,011-758-5580,2023-10-23 15:00:00 UTC
