sansan_organization_code,url,country_code,corporate_number,name,name_furigana,address_inside,prefecture_name,prefecture_code,updated_at
1849302410224,,JP,6140001073703,株式会社らしく,ラシク,兵庫県尼崎市大庄中通1丁目101番地,兵庫県,28,
5522549682231,,JP,8430005014135,医療法人社団厚寿会大浦歯科クリニック,コウジュカイオオウラシカクリニック,北海道札幌市北区屯田五条7丁目1番71号,北海道,01,
7776224484351,http://www.asahi-helper.co.jp,JP,2260002022717,有限会社ライブ,ライブ,岡山県倉敷市松島549番地,岡山県,33,
9442945652061,http://md5-ph.com/,JP,6430002055720,メディカルファイブ株式会社,メディカルファイブ,北海道小樽市花園3丁目19番16号,北海道,01,
7377382473247,,JP,5430005010855,一般財団法人協済会,キョウサイカイ,北海道札幌市北区北十四条西5丁目北海道大学病院構内,北海道,01,
1961166727298,http://www.asabu-keisei.jp,JP,5430005010665,医療法人社団麻生形成外科クリニック,アサブケイセイゲカクリニック,北海道札幌市北区北四十条西4丁目2番1号麻生メディカルビル5階,北海道,01,
8429319055048,,JP,5040001117231,株式会社Amour,アムール,千葉県千葉市中央区生実町2503番地5,千葉県,12,
7145240423025,,JP,5430005001680,医療法人社団小林内科小児科医院,コバヤシナイカシヨウニカイイン,北海道札幌市北区北二十八条西5丁目2番16号,北海道,01,2022-07-04T08:55:42Z
6547338900707,http://coa-dental-clinic.com/,JP,4430005012613,医療法人社団建志会,ケンジカイ,北海道札幌市西区二十四軒三条1丁目1-26ORO MONTE二十四軒1F,北海道,01,2023-04-03T11:51:09Z
5855913133861,,JP,3130001046729,株式会社京乃詩,キョウノウタ,京都府京都市西京区松室吾田神町204番地エクセル吾田神B棟105号室,京都府,26,
1107694066648,http://www.nihon-chemical.co.jp/hokkaido-chemical/index.html,JP,1180001080601,株式会社北海道ケミカル,ホッカイドウケミカル,北海道札幌市厚別区大谷地東5丁目7番2号,北海道,01,
9183431522922,,JP,9210005009866,一般社団法人THCS,ティエイチシィエス,福井県三方上中郡若狭町井ノ口第26号5番地の19サンポートスリーム203号,福井県,18,
2397410404309,,JP,9430005001578,医療法人社団江口整形外科,エグチセイケイゲカ,北海道札幌市北区太平四条3丁目2番1号,北海道,01,
8378158677750,http://www.kanemitsu-c.or.jp/,JP,4012805000079,医療法人社団弘樹会,コウジュカイ,東京都昭島市田中町562番8号昭島昭和ビル2階,東京都,13,
2862230634388,http://reizankanon.web.fc2.com/,JP,8130005012037,特定非営利活動法人麗山,レイザン,京都府京都市南区西九条針小路町21番地,京都府,26,
6927469454866,,JP,9430005001933,医療法人社団西尾皮膚科医院,シャダンニシオヒフカイイン,北海道札幌市白石区南郷通1丁目北1番地1,北海道,01,2023-04-03T03:35:06Z
3880883076796,http://www.byo-in.com/,JP,7430005003270,医療法人中山会,ナカヤマカイ,北海道札幌市厚別区厚別東二条6丁目4番1号,北海道,01,
9922269852228,http://www.city.hagi.lg.jp/,JP,2000020352047,萩市,ハギシ,山口県萩市大字江向510,山口県,35,
